name,nominations,wins
Barkhad Abdi,1,0
F. Murray Abraham,0,1
Amy Adams,5,0
Nick Adams,1,0
Isabelle Adjani,2,0
Casey Affleck,1,1
Shohreh Aghdashloo,1,0
Brian Aherne,1,0
Danny Aiello,1,0
Anouk Aimee,1,0
Eddie Albert,2,0
Jack Albertson,0,1
Alan Alda,1,0
Norma Aleandro,1,0
Jane Alexander,4,0
Mahershala Ali,0,1
Joan Allen,3,0
Woody Allen,1,0
Sara Allgood,1,0
Don Ameche,0,1
Judith Anderson,1,0
Julie Andrews,2,1
Ann-Margret,2,0
Anne Archer,1,0
Eve Arden,1,0
Alan Arkin,3,1
George Arliss,0,1
Patricia Arquette,0,1
Jean Arthur,1,0
Peggy Ashcroft,0,1
Fred Astaire,1,0
Mary Astor,0,1
Mischa Auer,1,0
Margaret Avery,1,0
Dan Aykroyd,1,0
Lew Ayres,1,0
Lauren Bacall,1,0
Hermione Baddeley,1,0
Mary Badham,1,0
Fay Bainter,1,1
Carroll Baker,1,0
Alec Baldwin,1,0
Christian Bale,2,1
Martin Balsam,0,1
Anne Bancroft,4,1
George Bancroft,1,0
Ian Bannen,1,0
Javier Bardem,2,1
Marie-Christine Barrault,1,0
Adriana Barraza,1,0
Barbara Barrie,1,0
Ethel Barrymore,3,1
Lionel Barrymore,0,1
Richard Barthelmess,1,0
Mikhail Baryshnikov,1,0
Kim Basinger,0,1
James Baskett,0,1
Albert Basserman,1,0
Angela Bassett,1,0
Alan Bates,1,0
Kathy Bates,2,1
Anne Baxter,1,1
Warner Baxter,0,1
Ned Beatty,1,0
Warren Beatty,4,0
Wallace Beery,1,1
Ed Begley,0,1
Bérénice Bejo,1,0
Barbara Bel Geddes,1,0
Ralph Bellamy,1,0
William Bendix,1,0
Roberto Benigni,0,1
Annette Bening,4,0
Tom Berenger,1,0
Candice Bergen,1,0
Ingrid Bergman,4,3
Elisabeth Bergner,1,0
Jeannie Berlin,1,0
Halle Berry,0,1
Demián Bichir,1,0
Charles Bickford,3,0
Theodore Bikel,1,0
Juliette Binoche,1,1
Karen Black,1,0
Betsy Blair,1,0
Linda Blair,1,0
Ronee Blakley,1,0
Cate Blanchett,4,2
Brenda Blethyn,2,0
Mary J. Blige,1,0
Joan Blondell,1,0
Ann Blyth,1,0
Humphrey Bogart,2,1
Beulah Bondi,2,0
Helena Bonham Carter,2,0
Shirley Booth,0,1
Ernest Borgnine,0,1
Charles Boyer,4,0
Lorraine Bracco,1,0
Alice Brady,1,1
Kenneth Branagh,2,0
Klaus Maria Brandauer,1,0
Marlon Brando,6,2
Eileen Brennan,1,0
Walter Brennan,1,3
Abigail Breslin,1,0
Jeff Bridges,6,1
Jim Broadbent,0,1
Adrien Brody,0,1
Josh Brolin,1,0
Albert Brooks,1,0
Leslie Browne,1,0
Yul Brynner,0,1
Genevieve Bujold,1,0
Sandra Bullock,1,1
Victor Buono,1,0
Billie Burke,1,0
Catherine Burns,1,0
George Burns,0,1
Ellen Burstyn,5,1
Richard Burton,7,0
Gary Busey,1,0
Red Buttons,0,1
Spring Byington,1,0
James Caan,1,0
Adolph Caesar,1,0
