aid,actor_name,movie_credits,popularity
109,Elijah Wood,74,7.981271
1327,Ian McKellen,92,7.489422
110,Viggo Mortensen,59,7.252904
1328,Sean Astin,88,6.38811
882,Liv Tyler,31,10.37454
114,Orlando Bloom,37,8.15684
655,John Rhys-Davies,124,5.08369
1330,Dominic Monaghan,22,1.772639
1329,Billy Boyd,27,0.526565
48,Sean Bean,92,11.274564
10980,Daniel Radcliffe,35,8.024305
10989,Rupert Grint,22,3.737579
10990,Emma Watson,22,12.419502
194,Richard Harris,75,2.215006
10993,Tom Felton,28,3.860917
1923,Robbie Coltrane,79,2.605857
4566,Alan Rickman,65,6.182303
10978,Maggie Smith,74,3.94749
10983,Richard Griffiths,51,1.544901
10985,Ian Hart,60,2.235841
19587,Rumi Hiiragi,3,1.087496
19588,Miyu Irino,23,2.549361
19589,Mari Natsuki,25,1.754915
119243,Bunta Sugawara,104,3.741067
19594,Yumi Tamai,1,0.000286
225730,Ryunosuke Kamiki,34,0.99332
19590,Takashi Naito,27,1e-06
19591,Yasuko Sawaguchi,9,0.000157
19592,Tatsuya Gashûin,11,1.07778
40450,Yo Oizumi,30,0.075177
1230,John Goodman,124,7.92169
7904,Billy Crystal,62,3.60262
884,Steve Buscemi,126,8.708432
5563,James Coburn,99,4.708634
7906,Jennifer Tilly,82,4.317666
7905,Mary Gibbs,2,0.17449
10,Bob Peterson,12,3.639945
7907,John Ratzenberger,73,1.662782
7908,Frank Oz,78,2.612242
7884,Daniel Gerson,3,1.434287
1461,George Clooney,65,8.937929
287,Brad Pitt,78,13.077777
1892,Matt Damon,83,16.892597
1271,Andy García,74,3.531369
1204,Julia Roberts,58,11.259209
1893,Casey Affleck,43,3.790319
1894,Scott Caan,33,1.861859
1895,Carl Reiner,49,1.553981
1897,Bernie Mac,29,2.047543
827,Elliott Gould,110,1.27539
11701,Angelina Jolie,52,12.836753
10127,Jon Voight,84,3.72853
20508,Iain Glen,52,4.645518
1284,Noah Taylor,47,2.978819
8784,Daniel Craig,61,12.265329
20510,Richard Johnson,64,1.265614
20511,Chris Barrie,6,4e-06
7031,Julian Rhind-Tutt,36,0.877012
10655,Leslie Phillips,86,0.601016
20509,Robert Phillips,1,4.2e-05
12073,Mike Myers,45,3.84648
776,Eddie Murphy,65,8.738212
6941,Cameron Diaz,53,8.180099
12074,John Lithgow,83,5.547938
1925,Vincent Cassel,77,3.657308
12075,Peter Dennis,4,0.0504
12076,Clive Pearse,1,8.8e-05
12077,Jim Cummings,133,3.629914
12078,Bobby Block,2,1e-06
12098,Chris Miller,22,2.38959
131,Jake Gyllenhaal,47,5.932872
20089,Jena Malone,57,3.90276
723,Patrick Swayze,45,7.464222
1579,Maggie Gyllenhaal,42,4.056045
69597,Drew Barrymore,68,7.447111
5151,Beth Grant,101,2.765776
1578,Holmes Osborne,22,0.058085
1580,Daveigh Chase,22,2.904649
1581,Mary McDonnell,30,2.545536
1582,James Duval,62,0.00239
21593,Jason Biggs,27,4.498557
21403,Thomas Ian Nicholas,31,2.02716
21594,Chris Klein,25,3.077738
57599,Seann William Scott,34,5.242597
52480,Eddie Kaye Thomas,27,2.609588
21596,Shannon Elizabeth,34,3.245904
21595,Alyson Hannigan,18,5.938185
10871,Natasha Lyonne,58,3.851544
1234,Tara Reid,45,6.116704
8211,Mena Suvari,41,2.508751
2405,Audrey Tautou,33,5.661164
2406,Mathieu Kassovitz,33,4.259498
2407,Rufus,73,0.727455
2408,Jamel Debbouze,39,0.052483
1654,Claire Maurier,31,0.001694
2412,Isabelle Nanty,40,0.076598
2413,Dominique Pinon,71,1.681507
2414,Artus de Penguern,18,0.000959
2415,Yolande Moreau,60,0.0002
2409,Lorella Cravotta,13,0.013366
1772,Anna Faris,39,10.392704
35705,Regina Hall,31,3.296795
35690,Shawn Wayans,9,1.808791
9562,Marlon Wayans,25,5.830717
35769,Christopher Masterson,17,1.815108
33676,Kathleen Robertson,31,3.086139
212,David Cross,65,3.594175
4512,James Woods,96,5.838217
13472,Tim Curry,87,4.612719
19149,Tori Spelling,21,1.625671
9640,Haley Joel Osment,36,5.147035
1518,Frances O'Connor,29,4.524272
8213,Sam Robards,28,0.415513
9641,Jake Thomas,13,1.639408
9642,Jude Law,59,10.277446
227,William Hurt,92,4.821989
2157,Robin Williams,116,6.315789
2282,Ben Kingsley,123,10.999455
5064,Meryl Streep,93,6.899513
2632,Chris Rock,79,3.625942
2299,Josh Hartnett,35,6.102058
3061,Ewan McGregor,89,7.735997
11355,Jason Isaacs,66,5.936024
3197,Tom Sizemore,127,6.24198
886,William Fichtner,53,6.923083
8783,Eric Bana,28,4.933214
1125,Ewen Bremner,58,3.607619
9880,Sam Shepard,73,4.244269
2524,Tom Hardy,51,11.114589
12790,Charlie Hofheimer,12,0.003928
18269,Brendan Fraser,53,7.599336
3293,Rachel Weisz,49,7.233457
10727,John Hannah,42,3.301208
18041,Oded Fehr,14,1.562099
16743,Arnold Vosloo,43,1.999001
18920,Patricia Velásquez,20,1.523959
18919,Freddie Boath,1,6.1e-05
18918,Dwayne Johnson,196,14.911426
2629,Alun Armstrong,54,1.600446
31164,Adewale Akinnuoye-Agbaje,31,1.530475
3489,Naomi Watts,73,6.717873
15007,Laura Harring,33,4.357434
15008,Ann Miller,53,1.786947
6486,Dan Hedaya,71,2.571952
15009,Justin Theroux,33,1.837937
15011,Brent Briscoe,29,2.159824
5694,Robert Forster,126,3.593723
15012,Katharine Towne,24,1.005778
30123,Lee Grant,55,0.821727
9306,Scott Coffey,22,1.1e-05
9137,Renée Zellweger,39,2.859048
5472,Colin Firth,81,7.797546
3291,Hugh Grant,53,5.039294
9138,Gemma Jones,47,2.911762
388,Jim Broadbent,105,5.184882
9145,James Callis,17,1.451563
9144,Sally Phillips,33,1.437054
1834,Shirley Henderson,51,1.493793
6368,Embeth Davidtz,30,5.111148
9146,Lisa Barbuscia,6,0.115077
500,Tom Cruise,60,14.610399
955,Penélope Cruz,66,9.556108
6856,Kurt Russell,69,8.612862
11662,Jason Lee,49,4.286156
9191,Timothy Spall,102,3.464741
3063,Tilda Swinton,81,7.743185
19851,Armand Schultz,4,7e-06
3128,Alicia Witt,45,3.363493
880,Ben Affleck,70,11.221677
3967,Kate Beckinsale,44,10.977905
9777,Cuba Gooding Jr.,62,2.011972
7447,Alec Baldwin,132,7.785919
10128,William Lee Scott,17,1.50138
10129,Greg Zola,2,0.000408
85,Johnny Depp,88,15.780102
824,Ethan Suplee,40,3.281627
11477,Ray Liotta,87,6.186802
679,Franka Potente,37,3.717528
3052,Rachel Griffiths,39,1.976377
5129,Paul Reubens,46,1.066418
31384,Jordi Mollà,58,2.199445
7248,Cliff Curtis,38,4.820551
30488,Miguel Sandoval,47,1.117883
5292,Denzel Washington,58,8.165133
569,Ethan Hawke,71,10.185934
349,Scott Glenn,74,3.719679
13022,Tom Berenger,78,4.648375
1166,Harris Yulin,57,1.86301
19767,Snoop Dogg,74,2.45509
2041,Dr. Dre,20,3e-06
8170,Eva Mendes,35,6.090976
18461,Nick Chinlund,38,1.600344
934,Russell Crowe,52,5.290016
228,Ed Harris,87,6.141907
6161,Jennifer Connelly,45,9.287087
290,Christopher Plummer,150,7.845103
6162,Paul Bettany,51,4.977539
6163,Adam Goldberg,37,3.641367
6164,Josh Lucas,53,3.362373
6165,Anthony Rapp,21,3.139458
6166,Jason Gray-Stanford,14,0.265686
6167,Judd Hirsch,36,1.595084
1810,Heath Ledger,19,9.199284
17328,Rufus Sewell,47,3.401477
27855,Shannyn Sossamon,25,3.856662
42279,Laura Fraser,37,0.869747
13633,Mark Addy,22,1.760456
21088,Alan Tudyk,47,6.844686
17648,James Purefoy,29,3.224719
82923,Bérénice Bejo,38,1.608104
32559,Scott Handy,14,1e-06
