did,director_name,movie_credits,popularity
108,Peter Jackson,71,4.146768
12890,Pete Docter,25,0.990783
608,Hayao Miyazaki,82,6.289017
10965,Chris Columbus,52,1.530096
7409,J.B. Rogers,15,0.031962
12786,Simon West,14,1.315266
488,Steven Spielberg,158,11.087757
2419,Jean-Pierre Jeunet,23,2.806808
1884,Steven Soderbergh,107,3.963512
1577,Richard Kelly,19,0.657693
5524,Andrew Adamson,24,1.741177
12058,Vicky Jenson,6,0.000203
11649,Cameron Crowe,28,1.151702
7775,Stephen Sommers,28,0.688909
578,Ridley Scott,99,6.255273
35689,Keenen Ivory Wayans,23,1.014376
9158,Sharon Maguire,7,0.000756
6159,Ron Howard,75,4.538469
5602,David Lynch,110,1.763256
865,Michael Bay,55,4.745042
4723,Brian Helgeland,35,1.43511
510,Tim Burton,65,3.127406
36797,Robert Luketic,9,0.349173
34849,Ted Demme,13,0.002097
11091,Brett Ratner,39,1.980635
20907,Antoine Fuqua,20,1.30655
6201,Baz Luhrmann,18,1.082011
2352,Jean-Jacques Annaud,23,0.714449
5655,Wes Anderson,40,1.933197
19303,Kevin Smith,64,2.061769
57604,Joel Gallen,32,0.022236
16435,Julio Médem,35,0.422782
21136,Michael Cristofer,14,0.908586
58829,Darrell Rooney,6,0.003615
58830,Jeannine Roussel,4,0
7256,Lee Tamahori,10,1.423128
2294,Robert Rodriguez,162,2.320085
52049,Jay Chandrasekhar,19,8e-06
62047,Gary Trousdale,17,0.597101
62048,Kirk Wise,5,0.040817
21692,Hironobu Sakaguchi,1,6e-06
21693,Motonori Sakakibara,3,3.8e-05
1201,Garry Marshall,29,2.947083
57607,Stephen Chow,29,8.803279
11218,Alfonso Cuarón,35,1.110144
135534,Léa Pool,24,0.000337
8296,Christophe Gans,11,0.863297
60237,John A. Davis,11,0.130113
11447,Albert Hughes,10,0.027686
11448,Allen Hughes,11,0.030302
21053,John Dahl,11,0.19167
57521,Steve Beck,2,1e-06
10828,Guillermo del Toro,79,3.032836
56349,Victor Salva,22,0.188344
210053,Roberts Gannaway,15,0.00132
61677,Burny Mattinson,15,0.191858
185072,Tony Craig,6,0.005897
12028,John Moore,8,0.001113
7399,Ben Stiller,32,7.810037
893,Tony Scott,42,1.051123
7908,Frank Oz,17,1.878176
27846,John Herzfeld,29,0.001909
1223,Joel Coen,74,2.723189
53178,Mike Tollin,14,0.04515
9789,Robert Altman,92,2.394753
8858,Ivan Reitman,54,0.671462
16853,Jessie Nelson,12,0.159386
58518,Blair Hayes,6,0
7395,Bobby Farrelly,33,0.247553
7396,Peter Farrelly,34,0.839335
1978,Iain Softley,13,0.006052
36804,Peter Chelsom,13,0.551713
16938,Renny Harlin,34,0.960975
73051,Jim Malone,2,1.1e-05
65429,Kunihiko Yuyama,35,0.000169
57646,Henry Selick,17,0.989257
21647,Gérard Krawczyk,12,0.003175
71418,Demian Lichtenstein,6,6e-06
19665,John Boorman,45,0.782803
77133,Christine Lahti,2,0.423597
64191,Lawrence Guterman,3,0
5010,Todd Field,7,0.015438
58498,Dominic Sena,14,0.799826
21931,Chris Nahon,7,0.017426
141706,Chuck Sheetz,5,1e-06
366,James Mangold,23,1.377318
58178,David Mirkin,4,0.000101
19969,Pat O'Connor,12,0.001201
1243,Woody Allen,115,5.090438
20739,Adam Shankman,23,0.979215
10765,Andrzej Bartkowiak,32,1.56
638,Michael Mann,50,2.308395
57082,John Stockwell,22,2.101612
69579,James Isaac,7,0.000444
40243,Gil Junger,15,0.621574
17268,Ronny Yu,29,0.624705
17494,Dennis Dugan,16,1.538232
18844,John Madden,19,0.128506
56342,Shinichiro Watanabe,11,0.000378
8246,Barry Levinson,72,1.312846
52038,Thomas Carter,9,0.006035
10781,Michael Apted,52,1.654902
52371,J.S. Cardone,36,0.035742
26475,Brent Maddock,15,0.02707
4586,Pitof,6,7e-06
57134,James Wong,12,0.007836
21981,Harald Zwart,13,1.578266
1462,Tim Blake Nelson,10,2.231227
22214,David Wain,27,3.3854
5501,Gary Fleder,11,0.412817
6482,John Singleton,23,0.653747
69488,Nanni Moretti,38,5.4e-05
26767,Ringo Lam,42,5.5e-05
7791,Peter Howitt,24,1.538559
3415,Jerry Zucker,20,2.14558
37710,Peter Hyams,51,1.644537
2053,Bill Paxton,8,4.961956
12632,Daniel Sackheim,6,0.126958
37948,Brad Anderson,18,0.253074
12995,Marc Forster,19,2.704521
564,Richard Linklater,59,2.41346
66960,Dennie Gordon,5,0.006065
19840,Alejandro Amenábar,31,2.049685
56263,Mary Lambert,28,0.289404
16304,Brian Koppelman,13,0.005483
16305,David Levien,14,0.553941
65734,Luke Greenfield,7,0.000101
58159,Rintaro,34,0.005594
69741,David M. Evans,19,0.240051
1704,Gore Verbinski,21,3.151851
17447,Terry Zwigoff,8,0.00463
21526,Rod Lurie,16,0.007378
1255,David Mamet,56,2.051731
52112,Steve Carr,9,0.035186
13615,Harry Elfont,9,0.000622
13614,Deborah Kaplan,9,0.143462
30458,Henry Bean,12,0.001289
33433,Scott Hicks,16,0.345744
16590,Sheldon Lettich,20,0.399841
59958,Jamie Blanks,11,1.4e-05
23213,Harold Becker,17,0.000193
21339,Jez Butterworth,14,1.561667
54050,Mark Waters,17,1.306945
36423,Tom Green,15,0.132749
61571,Barry Skolnick,1,3.6e-05
11770,John Carpenter,86,2.896152
879,Billy Bob Thornton,15,3.640351
52849,Louis C.K.,48,3.26811
14911,Penny Marshall,11,0.684771
12180,Mamoru Oshii,56,0.000246
133635,David L. Cunningham,5,0.035581
38774,Ray Lawrence,3,0.000186
95760,Erik Skjoldbjærg,12,1e-06
5306,Lasse Hallström,39,0.765672
46085,Luis Mandoki,17,0.001974
17114,John Cameron Mitchell,16,4.6e-05
45916,Owen Hurley,5,0.00011
19656,Sebastian Gutierrez,25,0.000302
116929,Chris Angel,10,0.000122
6361,Nick Hamm,11,4.2e-05
18356,Stephen Herek,22,1.266787
18254,Simon Wincer,26,0.050236
54584,Jesse Dylan,5,0.682301
62514,Tommy O'Haver,10,0.037712
73282,Paddy Breathnach,7,0.000277
4027,Frank Darabont,28,2.612623
101444,Scott McGehee,15,0.52
101446,David Siegel,16,0.000721
3417,Tony Goldwyn,6,3.954729
57030,Gregor Jordan,9,0.000473
53177,Brian Robbins,22,0.089562
18357,Peter Hewitt,15,0.356663
50942,Gregory Poirier,12,0.0638
90864,Charles Grosvenor,17,0.088564
64909,Jean-Marie Poiré,34,0.002206
26882,Kiyoshi Kurosawa,67,0.000623
54967,Sam Weisman,8,0.12
18311,Joe Roth,35,1.005089
201,Michel Gondry,47,2.169734
21958,Mark Rydell,16,0.071604
17597,Juan Carlos Fresnadillo,11,0.00035
84782,Francine McDougall,6,0.001063
88623,Jim Stenstrum,5,0.4
84714,Juan José Campanella,18,1.46124
56106,Charles Shyer,21,0.115303
56911,Les Mayfield,11,0.001344
17282,Takashi Miike,99,1.127495
3288,Chris Weitz,25,1.701344
3289,Paul Weitz,26,2.473726
15277,Jon Favreau,28,3.739015
12833,Edward Burns,35,2.451366
72197,Ferzan Özpetek,25,4e-06
6495,Mira Nair,30,2.564554
36693,Richard Eyre,31,0.001456
145134,Jill Sprecher,6,0.52
11472,Irwin Winkler,55,0.33053
1901,Caroline Thompson,17,0.47236
23724,Patrice Chéreau,29,0.59508
58072,John Pasquin,6,0.038107
123694,Rob Pritts,1,1e-06
134705,Guy Magar,9,5.5e-05
61175,John Whitesell,9,0.759976
70703,Teddy Chan,16,0.04386
28898,Michael Radford,24,0.006356
78021,Lloyd Kaufman,79,0.079396
76247,Charles Herman-Wurmfeld,7,0.001456
67910,David Atkins,4,2e-06
4319,Stacy Peralta,17,0.008964
10697,Alan Cumming,5,3.201847
10431,Jennifer Jason Leigh,5,11.588618
84931,Michael Cuesta,8,0.310719
240976,Robert Angelo,3,0
84982,Rob Spera,9,0.000101
66605,Todd Solondz,26,1e-06
15521,Ernest R. Dickerson,36,0.023241
64061,Fred Schepisi,25,0.004728
54590,Steve Rash,14,0.05867
132566,Matt Codd,9,0
1216479,Steve Purcell,8,5.9e-05
226493,Sandra Goldbacher,6,0.001361
55790,Allan Moyle,15,0.072
4955,Dario Argento,93,0.193638
66116,Mark Brown,11,2e-06
82221,Brendan Malloy,5,0.001905
82222,Emmett Malloy,11,0.1008
55251,Asif Kapadia,14,0.134057
36185,Jean de Segonzac,14,0.190756
81272,Jay Lowi,4,0.000342
87033,Julie Davis,9,0
166469,Jonas McCord,4,8e-05
