mid,title,budget,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,thriller,war,western,original_language,production_companies,release_date,revenue,runtime,popularity,average_rating,num_votes,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,director_1,director_2,director_3
120,The Lord of the Rings: The Fellowship of the Ring,93000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,New Line Cinema and WingNut Films and The Saul Zaentz Company and ,2001-12-18,871368364,178,48.896937,8.1,10763,109,1327,110,1328,882,114,655,1330,1329,48,108,-1,-1
671,Harry Potter and the Philosopher's Stone,125000000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,en,Warner Bros. Pictures and Heyday Films and ,2001-11-16,976475550,152,45.249561,7.6,9260,10980,10989,10990,194,10993,1923,4566,10978,10983,10985,10965,-1,-1
129,Spirited Away,15000000,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,ja,Studio Ghibli and ,2001-07-20,274925095,125,37.401395,8.4,5112,19587,19588,19589,119243,19594,225730,19590,19591,19592,40450,608,-1,-1
585,"Monsters, Inc.",115000000,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,Pixar and ,2001-11-01,562816256,92,35.423254,7.6,7680,1230,7904,884,5563,7906,7905,10,7907,7908,7884,12890,-1,-1
161,Ocean's Eleven,85000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,WV Films II and Village Roadshow Pictures and NPV Entertainment and Jerry Weintraub Productions and Section Eight and Warner Bros. Pictures and ,2001-12-07,450717150,116,33.765353,7.2,4725,1461,287,1892,1271,1204,1893,1894,1895,1897,827,1884,-1,-1
1995,Lara Croft: Tomb Raider,115000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,en,Paramount and Toho-Towa and Mutual Film Company and Lawrence Gordon Productions and British Broadcasting Corporation (BBC) and Marubeni and Eidos Interactive and ,2001-06-11,274703340,100,28.740142,5.7,2740,11701,10127,20508,1284,8784,20510,20511,7031,10655,20509,12786,-1,-1
808,Shrek,60000000,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,en,Pacific Data Images (PDI) and DreamWorks Animation and DreamWorks and ,2001-05-16,484409218,90,27.406282,7.4,5535,12073,776,6941,12074,1925,12075,12076,12077,12078,12098,5524,12058,-1
141,Donnie Darko,6000000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,en,Pandora Cinema and Flower Films and Adam Fields Productions and 20th Century Fox and ,2001-01-18,1270522,113,26.917146,7.8,4719,131,20089,723,1579,69597,5151,1578,1580,1581,1582,1577,-1,-1
2770,American Pie 2,30000000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,Universal Pictures and Liveplanet and Zide-Perry Productions and ,2001-08-10,287553595,108,26.641317,6.0,1800,21593,21403,21594,57599,52480,21596,21595,10871,1234,8211,7409,-1,-1
194,Amélie,10000000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fr,France 3 Cinéma and Claudie Ossard Productions and MMC Independent and Tapioca Films and Sofica Sofinergie 5 and Victoires Productions and Filmstiftung Nordrhein-Westfalen and Union Générale Cinématographique (UGC) and Canal+ and ,2001-04-25,173921954,122,26.303963,7.9,4279,2405,2406,2407,2408,1654,2412,2413,2414,2415,2409,2419,-1,-1
