movie,year,category,nominee,winner
Jimmy Neutron: Boy Genius,2001,ANIMATED FEATURE FILM,1,0
"Monsters, Inc.",2001,ANIMATED FEATURE FILM,1,0
Shrek,2001,ANIMATED FEATURE FILM,0,1
A Beautiful Mind,2001,BEST PICTURE,0,1
Gosford Park,2001,BEST PICTURE,1,0
In the Bedroom,2001,BEST PICTURE,1,0
The Lord of the Rings: The Fellowship of the Ring,2001,BEST PICTURE,1,0
Moulin Rouge,2001,BEST PICTURE,1,0
Ice Age,2002,ANIMATED FEATURE FILM,1,0
Lilo & Stitch,2002,ANIMATED FEATURE FILM,1,0
Spirit: Stallion of the Cimarron,2002,ANIMATED FEATURE FILM,1,0
Spirited Away,2002,ANIMATED FEATURE FILM,0,1
Treasure Planet,2002,ANIMATED FEATURE FILM,1,0
Chicago,2002,BEST PICTURE,0,1
Gangs of New York,2002,BEST PICTURE,1,0
The Hours,2002,BEST PICTURE,1,0
The Lord of the Rings: The Two Towers,2002,BEST PICTURE,1,0
The Pianist,2002,BEST PICTURE,1,0
Brother Bear,2003,ANIMATED FEATURE FILM,1,0
Finding Nemo,2003,ANIMATED FEATURE FILM,0,1
The Triplets of Belleville,2003,ANIMATED FEATURE FILM,1,0
The Lord of the Rings: The Return of the King,2003,BEST PICTURE,0,1
Lost in Translation,2003,BEST PICTURE,1,0
Master and Commander: The Far Side of the World,2003,BEST PICTURE,1,0
Mystic River,2003,BEST PICTURE,1,0
Seabiscuit,2003,BEST PICTURE,1,0
The Incredibles,2004,ANIMATED FEATURE FILM,0,1
Shark Tale,2004,ANIMATED FEATURE FILM,1,0
Shrek 2,2004,ANIMATED FEATURE FILM,1,0
The Aviator,2004,BEST PICTURE,1,0
Finding Neverland,2004,BEST PICTURE,1,0
Million Dollar Baby,2004,BEST PICTURE,0,1
Ray,2004,BEST PICTURE,1,0
Sideways,2004,BEST PICTURE,1,0
Howl's Moving Castle,2005,ANIMATED FEATURE FILM,1,0
Tim Burton's Corpse Bride,2005,ANIMATED FEATURE FILM,1,0
Wallace & Gromit in The Curse of the Were-Rabbit,2005,ANIMATED FEATURE FILM,0,1
Brokeback Mountain,2005,BEST PICTURE,1,0
Capote,2005,BEST PICTURE,1,0
Crash,2005,BEST PICTURE,0,1
"Good Night, and Good Luck.",2005,BEST PICTURE,1,0
Munich,2005,BEST PICTURE,1,0
Cars,2006,ANIMATED FEATURE FILM,1,0
Happy Feet,2006,ANIMATED FEATURE FILM,0,1
Monster House,2006,ANIMATED FEATURE FILM,1,0
Babel,2006,BEST PICTURE,1,0
The Departed,2006,BEST PICTURE,0,1
Letters from Iwo Jima,2006,BEST PICTURE,1,0
Little Miss Sunshine,2006,BEST PICTURE,1,0
The Queen,2006,BEST PICTURE,1,0
Persepolis,2007,ANIMATED FEATURE FILM,1,0
Ratatouille,2007,ANIMATED FEATURE FILM,0,1
Surf's Up,2007,ANIMATED FEATURE FILM,1,0
Atonement,2007,BEST PICTURE,1,0
Juno,2007,BEST PICTURE,1,0
Michael Clayton,2007,BEST PICTURE,1,0
No Country for Old Men,2007,BEST PICTURE,0,1
There Will Be Blood,2007,BEST PICTURE,1,0
Bolt,2008,ANIMATED FEATURE FILM,1,0
Kung Fu Panda,2008,ANIMATED FEATURE FILM,1,0
WALL-E,2008,ANIMATED FEATURE FILM,0,1
The Curious Case of Benjamin Button,2008,BEST PICTURE,1,0
Frost/Nixon,2008,BEST PICTURE,1,0
Milk,2008,BEST PICTURE,1,0
The Reader,2008,BEST PICTURE,1,0
Slumdog Millionaire,2008,BEST PICTURE,0,1
Coraline,2009,ANIMATED FEATURE FILM,1,0
Fantastic Mr. Fox,2009,ANIMATED FEATURE FILM,1,0
The Princess and the Frog,2009,ANIMATED FEATURE FILM,1,0
The Secret of Kells,2009,ANIMATED FEATURE FILM,1,0
Up,2009,ANIMATED FEATURE FILM,0,1
Avatar,2009,BEST PICTURE,1,0
The Blind Side,2009,BEST PICTURE,1,0
District 9,2009,BEST PICTURE,1,0
An Education,2009,BEST PICTURE,1,0
The Hurt Locker,2009,BEST PICTURE,0,1
Inglourious Basterds,2009,BEST PICTURE,1,0
Precious: Based on the Novel 'Push' by Sapphire,2009,BEST PICTURE,1,0
A Serious Man,2009,BEST PICTURE,1,0
Up,2009,BEST PICTURE,1,0
Up in the Air,2009,BEST PICTURE,1,0
How to Train Your Dragon,2010,ANIMATED FEATURE FILM,1,0
The Illusionist,2010,ANIMATED FEATURE FILM,1,0
Toy Story 3,2010,ANIMATED FEATURE FILM,0,1
Black Swan,2010,BEST PICTURE,1,0
The Fighter,2010,BEST PICTURE,1,0
Inception,2010,BEST PICTURE,1,0
The Kids Are All Right,2010,BEST PICTURE,1,0
The King's Speech,2010,BEST PICTURE,0,1
127 Hours,2010,BEST PICTURE,1,0
The Social Network,2010,BEST PICTURE,1,0
Toy Story 3,2010,BEST PICTURE,1,0
True Grit,2010,BEST PICTURE,1,0
Winter's Bone,2010,BEST PICTURE,1,0
A Cat in Paris,2011,ANIMATED FEATURE FILM,1,0
Chico & Rita,2011,ANIMATED FEATURE FILM,1,0
Kung Fu Panda 2,2011,ANIMATED FEATURE FILM,1,0
Puss in Boots,2011,ANIMATED FEATURE FILM,1,0
Rango,2011,ANIMATED FEATURE FILM,0,1
The Artist,2011,BEST PICTURE,0,1
